,Province/State,Country/Region,Date,New cases,
0,Hubei,China,1/22/20,444,
1,Hubei,China,1/23/20,444,
2,Hubei,China,1/24/20,549,
3,Hubei,China,1/25/20,761,
4,Hubei,China,1/26/20,1058,
5,Hubei,China,1/27/20,1423,
6,Hubei,China,1/28/20,3554,
7,Hubei,China,1/29/20,3554, 
8,Hubei,China,1/30/20,4903,
9,Hubei,China,1/31/20,5806,
10,Hubei,China,02/01/2020,7153,
11,Hubei,China,02/02/2020,11177,
12,Hubei,China,02/03/2020,13522,
13,Hubei,China,02/04/2020,16678,
14,Hubei,China,02/05/2020,19665,
15,Hubei,China,02/06/2020,22112,
16,Hubei,China,02/07/2020,24953,
17,Hubei,China,02/08/2020,27100,
18,Hubei,China,02/09/2020,29631,
19,Hubei,China,02/10/2020,31728,
20,Hubei,China,02/11/2020,33366,
21,Hubei,China,02/12/2020,33366,
22,Hubei,China,2/13/20,48206,
23,Hubei,China,2/14/20,54406,
24,Hubei,China,2/15/20,56249,
25,Hubei,China,2/16/20,58182,
26,Hubei,China,2/17/20,59989,
27,Hubei,China,2/18/20,61682,
28,Hubei,China,2/19/20,62031,
29,Hubei,China,2/20/20,62442,
30,Hubei,China,2/21/20,62662,
31,Hubei,China,2/22/20,64084,
32,Hubei,China,2/23/20,64084,
33,Hubei,China,2/24/20,64287,
34,Hubei,China,2/25/20,64786,
35,Hubei,China,2/26/20,65187,
36,Hubei,China,2/27/20,65596,
37,Hubei,China,2/28/20,65914,
38,Hubei,China,2/29/20,66337,
39,Hubei,China,03/01/2020,66907,
40,Hubei,China,03/02/2020,67103,
41,Hubei,China,03/03/2020,67217,
42,Hubei,China,03/04/2020,67332,
43,Hubei,China,03/05/2020,67466,
44,Hubei,China,03/06/2020,67592,
45,Hubei,China,03/07/2020,67666,
46,Hubei,China,03/08/2020,67707,
47,Hubei,China,03/09/2020,67743,
48,Hubei,China,03/10/2020,67760,
49,Hubei,China,03/11/2020,67773,
50,Hubei,China,03/12/2020,67781,
51,Hubei,China,3/13/20,67786,
52,Hubei,China,3/14/20,67790,
53,Hubei,China,3/15/20,67794,
54,Hubei,China,3/16/20,67798,
55,Hubei,China,3/17/20,67799,
56,Hubei,China,3/18/20,67800,
57,Hubei,China,3/19/20,67800,
58,Hubei,China,3/20/20,67800,
59,Hubei,China,3/21/20,67800,
60,Hubei,China,3/22/20,67800,
61,Hubei,China,3/23/20,67800,
