location,date,new_cases
China,01/22/20,
China,01/23/20,92
China,01/24/20,277
China,01/25/20,483
China,01/26/20,663
China,01/27/20,801
China,01/28/20,2631
China,01/29/20,576
China,01/30/20,2054
China,01/31/20,1659
China,02/01/2020,2088
China,02/02/2020,4736
China,02/03/2020,3086
China,02/04/2020,3987
China,02/05/2020,3729
China,02/06/2020,3144
China,02/07/2020,3522
China,02/08/2020,2703
China,02/09/2020,3012
China,02/10/2020,2516
China,02/11/2020,2021
China,02/12/2020,372
China,02/13/20,15133
China,02/14/20,6460
China,02/15/20,2055
China,02/16/20,2099
China,02/17/20,1918
China,02/18/20,1775
China,02/19/20,407
China,02/20/20,453
China,02/21/20,473
China,02/22/20,1450
China,02/23/20,16
China,02/24/20,214
China,02/25/20,508
China,02/26/20,405
China,02/27/20,433
China,02/28/20,326
China,02/29/20,427
China,03/01/2020,575
China,03/02/2020,200
China,03/03/2020,125
China,03/04/2020,120
China,03/05/2020,151
China,03/06/2020,151
,,
,,
,,
,,
,,
,,
