Year,Country Name,Agency,GDP growth(annual%)
1986,China,World Bank,8.949961764
1986,China,Statista,-3.060614117
1986,China,Chinese Bureau of statistics,17.33197124
1987,China,World Bank,11.65742779
1987,China,Statista,8.180514448
1987,China,Chinese Bureau of statistics,24.68910683
1988,China,World Bank,11.22259498
1988,China,Statista,19.80374884
1988,China,Chinese Bureau of statistics,13.17027219
1989,China,World Bank,4.206334355
1989,China,Statista,10.8079794
1989,China,Chinese Bureau of statistics,9.855818204
1990,China,World Bank,3.920251368
1990,China,Statista,-15.52989233
1990,China,Chinese Bureau of statistics,16.59893286
1991,China,World Bank,9.262786085
1991,China,Statista,4.022167905
1991,China,Chinese Bureau of statistics,23.53446395
1992,China,World Bank,14.22452959
1992,China,Statista,16.03982526
1992,China,Chinese Bureau of statistics,31.22625025
1993,China,World Bank,13.8837293
1993,China,Statista,20.29055925
1993,China,Chinese Bureau of statistics,36.34184766
1994,China,World Bank,13.03680663
1994,China,Statista,-9.923623351
1994,China,Chinese Bureau of statistics,26.11647391
1995,China,World Bank,10.95395434
1995,China,Statista,23.16142271
1995,China,Chinese Bureau of statistics,17.07485666
1996,China,World Bank,9.922556753
1996,China,Statista,15.04642811
1996,China,Chinese Bureau of statistics,11.00265131
1997,China,World Bank,9.236779892
1997,China,Statista,10.17964697
1997,China,Chinese Bureau of statistics,6.875117606
1998,China,World Bank,7.845951787
1998,China,Statista,6.461817862
1998,China,Chinese Bureau of statistics,6.301858666
1999,China,World Bank,7.6616515
1999,China,Statista,5.897000046
1999,China,Chinese Bureau of statistics,10.72794608
2000,China,World Bank,8.490093406
2000,China,Statista,9.72020605
2000,China,Chinese Bureau of statistics,10.55343982
2001,China,World Bank,8.335733478
2001,China,Statista,9.606718404
2001,China,Chinese Bureau of statistics,9.790723875
2002,China,World Bank,9.13363079
2002,China,Statista,9.017416754
2002,China,Chinese Bureau of statistics,12.90251024
2003,China,World Bank,10.03803048
2003,China,Statista,11.53497972
2003,China,Chinese Bureau of statistics,17.76877065
2004,China,World Bank,10.11362138
2004,China,Statista,15.003719
2004,China,Chinese Bureau of statistics,15.74312192
2005,China,World Bank,11.39459181
2005,China,Statista,14.87192252
2005,China,Chinese Bureau of statistics,17.14701506
2006,China,World Bank,12.72095567
2006,China,Statista,16.85202331
2006,China,Chinese Bureau of statistics,23.0833696
2007,China,World Bank,14.23086093
2007,China,Statista,22.54180658
2007,China,Chinese Bureau of statistics,18.19833442
2008,China,World Bank,9.650678919
2008,China,Statista,22.31936871
2008,China,Chinese Bureau of statistics,9.169489476
2009,China,World Bank,9.398725633
2009,China,Statista,10.05523689
2009,China,Chinese Bureau of statistics,18.24917357
2010,China,World Bank,10.63587106
2010,China,Statista,15.65904243
2010,China,Chinese Bureau of statistics,18.39780374
2011,China,World Bank,9.550832179
2011,China,Statista,19.46528461
2011,China,Chinese Bureau of statistics,10.37827996
2012,China,World Bank,7.863736449
2012,China,Statista,12.26488891
2012,China,Chinese Bureau of statistics,10.09751569
2013,China,World Bank,7.766150098
2013,China,Statista,11.27644565
2013,China,Chinese Bureau of statistics,8.1484652
2014,China,World Bank,7.425763656
2014,China,Statista,8.5451301
2014,China,Chinese Bureau of statistics,6.972345647
2015,China,World Bank,7.041328879
2015,China,Statista,5.302285237
2015,China,Chinese Bureau of statistics,7.88169965
2016,China,World Bank,6.848762205
2016,China,Statista,1.009984947
2016,China,Chinese Bureau of statistics,10.90363116
2017,China,World Bank,6.947200793
2017,China,Statista,8.466384516
2017,China,Chinese Bureau of statistics,9.692937338
2018,China,World Bank,6.749773833
2018,China,Statista,11.38926195
2018,China,Chinese Bureau of statistics,10.38452
2019,China,World Bank,5.950500754
2019,China,Statista,3.478166883
2019,China,Chinese Bureau of statistics,5.209319
2020,China,World Bank,2.239701857
2020,China,Statista,3.511911811
2020,China,Chinese Bureau of statistics,5.289371
2021,China,World Bank,8.109792581
2021,China,Statista,16.24197504
2021,China,Chinese Bureau of statistics,15.32948
