Country,Country Code,Series,Series Code,2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020]
China,CHN,"Unemployment rate,Percent,,,",UNEMPSA_,4.200578898,4.150198246,4.049658645,4.049512207,4.299340841,4.149624257,4.099867706,4.071961854,4.079168536,4.046961394,4.037111949,3.942630322,3.835076433,3.627650187,3.757419874
United States,USA,"Unemployment rate,Percent,,,",UNEMPSA_,5.083333333,4.608333333,4.616666667,5.8,9.283333333,9.608333333,8.933333333,7.358333333,6.158333333,5.275,4.875,4.341666667,3.891666667,3.666666667,8.433333333
United Kingdom,GBR,"Unemployment rate,Percent,,,",UNEMPSA_,4.841666667,5.416666667,5.333333333,5.708333333,7.608333333,7.891666667,8.1,7.591666667,6.2,5.375,4.891666667,4.383333333,4.075,3.833333333,..
Japan,JPN,"Unemployment rate,Percent,,,",UNEMPSA_,4.423202047,4.139495041,3.838205478,3.994578828,5.067755983,5.048090761,4.582267472,4.021602712,3.587388208,3.371588949,3.113240403,2.806692899,2.441199272,2.348667852,2.547657722
Germany,DEU,"Unemployment rate,Percent,,,",UNEMPSA_,9.120216836,8.080562149,8.532418227,7.409977529,7.63799184,6.952371691,5.821859642,5.236330801,4.987530029,4.628806578,4.126032712,3.753594447,3.397786158,3.150073617,3.281550729
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: Global Economic Monitor (GEM),,,,,,,,,,,,,,,,,,
Last Updated: 07/27/2020,,,,,,,,,,,,,,,,,,
